Topic,Word00,Word01,Word02,Word03,Word04,Word05,Word06,Word07,Word08,Word09
0,obama,taxis,dollar,spending,trade,worker,opponent,reform,rate,crisis
1,obama,oil,taxis,dollar,fuel,technology,wealth,coal,gas,price
2,iraq,force,veteran,troop,afghanistan,responsibility,strategy,honor,soldier,enemy
3,health,insurance,crisis,quality,company,reform,taxpayer,wall_street,loan,doctor
4,mccain,school,weapon,democracy,peace,freedom,father,russia,parent,century
5,worker,program,health,reform,spending,choice,education,training,michigan,service
6,right,freedom,candidate,cause,iraq,responsibility,law,ideal,threat,enemy
