Topic,Word00,Word01,Word02,Word03,Word04,Word05,Word06,Word07,Word08,Word09
0,michigan,african,opponent,refugee,student,reform,failure,opportunity,wage,email
1,veteran,va,veterans,indiana,honor,attack,health,budget,soldier,report
2,guy,biden,hell,pennsylvania,car,joe_biden,poll,news,kamala,tariff
3,question,attack,enemy,iran,guy,doctor,debate,crowd,ally,iraq
4,guy,israel,kamala_harris,kamala,criminal,inflation,usa,laughter,hell,harris
5,immigrant,corruption,fbi,folk,november_8th,clintons,wikileaks,email,establishment,e_mail
6,folk,pennsylvania,new_hampshire,story,gun,judge,case,guy,democrat,plant
