Topic,Word00,Word01,Word02,Word03,Word04,Word05,Word06,Word07,Word08,Word09
0,union,strength,labor,room,democracy,measure,worker,afternoon,senate,neighbor
1,usa,concept,debate,evening,supreme_court,owner,north_carolina,cut,medic,end
2,border,question,story,security,term,problem,madam,moment,school,decision
3,usa,list,pledge,party,decade,chance,democracy,behalf,cut,value
4,union,job,worker,michigan,labor,georgia,price,afternoon,manufacturing,detroit
5,governor_walz,joe,--audience,usa,coach,evening,governor,senator,neighbor,school
6,wisconsin,guy,career,voter,question,team,room,party,term,school
