Topic,Word00,Word01,Word02,Word03,Word04,Word05,Word06,Word07,Word08,Word09
0,student,poverty,law,father,chicago,neighborhood,drug,quality,reform,justice
1,obama,trade,union,question,student,barack,administration,pay,michigan,clinton
2,veteran,tonight,party,troop,ideal,fear,journey,value,clinton,heart
3,israel,question,obama,iran,peace,administration,retirement,troop,social_security,friend
4,taxis,oil,wall_street,market,gas,lobbyist,relief,mortgage,price,car
5,obama,church,faith,question,party,race,fuel,point,decision,standard
6,threat,afghanistan,weapon,troop,force,region,terrorist,military,al_qaeda,strategy
