Topic,Word00,Word01,Word02,Word03,Word04,Word05,Word06,Word07,Word08,Word09
0,skill,company,drug,new_hampshire,cost,quality,need,product,resource,center
1,iran,isis,security,threat,attack,agreement,weapon,deal,effort,force
2,florida,climate,service,hillary,voting,tonight,county,ballot,lgbt,taxis
3,tax,disability,company,taxis,wage,ohio,growth,profit,corporation,rule
4,childcare,new_hampshire,baby,potential,mom,champion,cost,service,car,loan
5,iowa,gun,new_hampshire,reform,immigration,case,experience,service,percent,drug
6,justice,north_carolina,prison,university,new_hampshire,tomorrow,voting,daughter,governor,democracy
